date,current_capital,unclaimed_fees,projected_fees,reinvest_cost,p_value,day_projection
2022-03-08,1000000.0,45.67185007400959,0.005442609584156556,88.95339060805205,0.02,7
2022-03-09,1000000.0,72.79457700201442,0.008709275467584944,77.91346922557867,0.02,7
2022-03-10,1000000.0,121.07003821851082,0.014341668358580983,66.57365729420846,0.02,7
2022-03-11,1000000.0,146.4965667078069,0.017420260795320316,63.226785958433545,0.02,7
2022-03-12,1000000.0,217.09614088318943,0.025474835604814956,47.28066702894808,0.02,7
2022-03-13,1000000.0,237.72923042024001,0.028018424531507696,73.2942654471239,0.02,7
2022-03-14,1000000.0,300.8543169969412,0.03438320147662858,63.7506927865667,0.02,7
2022-03-15,1000000.0,363.98207271920023,0.041765749531086804,74.17783490604171,0.02,7
2022-03-16,1000000.0,420.44865885345683,0.048438247248831584,84.99535147444914,0.02,7
2022-03-17,1000000.0,491.2300940331394,0.05680419379829181,151.77635158913466,0.02,7
2022-03-18,1000000.0,629.2775730832853,0.07306841933726171,149.34423430049952,0.02,7
2022-03-19,1000000.0,707.5833162621992,0.08253864248336612,69.56936320686907,0.02,7
2022-03-20,1000000.0,755.166391204841,0.08846130802467041,58.63858474495157,0.02,7
2022-03-21,1000000.0,778.1060140730635,0.09145210183161227,75.57186256526907,0.02,7
2022-03-22,1000000.0,865.9294082830689,0.09998847122407492,97.66725878556436,0.02,7
2022-03-23,1000000.0,914.4234423594713,0.10602893583963019,86.2891938216,0.02,7
2022-03-24,1000000.0,1044.3741145229492,0.12147951696311207,116.1836065123776,0.02,7
2022-03-25,1000000.0,1138.8523515879983,0.13303859830011389,106.33920103623858,0.02,7
2022-03-26,1000000.0,1191.803424968979,0.1398016978672312,76.3698707350775,0.02,7
2022-03-27,1000000.0,1259.1257720435415,0.14816949053564918,127.84923916764794,0.02,7
2022-03-28,1000000.0,1305.5912032065962,0.15418402003968795,192.36579372339506,0.02,7
2022-03-29,1000000.0,1371.5357548284621,0.16246001198364626,120.06075977570441,0.02,7
2022-03-30,1000000.0,1409.0391697065431,0.1674818372359425,133.46692152670335,0.02,7
2022-03-31,1000000.0,1512.251106056916,0.1802570324883138,126.98980501278051,0.02,7
2022-04-01,1000000.0,1583.5484505532015,0.18951491391020814,165.86500548653098,0.02,7
2022-04-02,1000000.0,1596.5395626239997,0.1917421972180217,150.44235196996289,0.02,7
2022-04-03,1000000.0,1644.7831563293457,0.1833303675878429,135.75461174236486,0.02,7
2022-04-04,1000000.0,1671.0817554136972,0.18685047950331685,169.2966666245792,0.02,7
2022-04-05,1000000.0,1687.0001548985915,0.18761378941010037,230.89697885853047,0.02,7
2022-04-06,1000000.0,1716.1101924850984,0.18231497539868638,139.26283042666194,0.02,7
2022-04-07,1000000.0,1725.191910225637,0.1834231046799253,170.22094312290048,0.02,7
2022-04-08,1000000.0,1755.1139981602337,0.16892615646402623,133.1326977221699,0.02,7
2022-04-09,1000000.0,1766.4627717145036,0.1704074832275123,87.38087117787852,0.02,7
